dataset_id,library_id,sample_id,rna_assay,tcr_assay,tcr_scope,active,notes
GSE221776,GSM6896055,GSM6896055,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896056,GSM6896056,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896057,GSM6896057,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896058,GSM6896058,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896059,GSM6896059,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896060,GSM6896060,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD45+CD3+ T cells
GSE221776,GSM6896061,GSM6896061,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896062,GSM6896062,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896063,GSM6896063,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896064,GSM6896064,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896065,GSM6896065,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896066,GSM6896066,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896067,GSM6896067,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896068,GSM6896068,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896069,GSM6896069,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896070,GSM6896070,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896071,GSM6896071,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896072,GSM6896072,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896073,GSM6896073,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896074,GSM6896074,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896075,GSM6896075,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896076,GSM6896076,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD4+ T cells
GSE221776,GSM6896077,GSM6896077,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM6896078,GSM6896078,10x (unspecified),vdj,unspecified_ab_or_gd,true,Non-small cell lung cancer; cell type: CD8+ T cells
GSE221776,GSM7412587,GSM7412587,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412588,GSM7412588,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412589,GSM7412589,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412590,GSM7412590,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412591,GSM7412591,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412592,GSM7412592,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412593,GSM7412593,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412594,GSM7412594,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412595,GSM7412595,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412596,GSM7412596,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412597,GSM7412597,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412598,GSM7412598,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412599,GSM7412599,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412600,GSM7412600,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412601,GSM7412601,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412602,GSM7412602,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD4+ T cells
GSE221776,GSM7412603,GSM7412603,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE221776,GSM7412604,GSM7412604,10x 5',vdj,unspecified_ab_or_gd,true,Pediatric brain tumor; cell type: CD8+ T cells
GSE227709,GSM7105884,GSM7105884,10x 5',none,none,true,Tumor & Blood; library type: GEX/ADT
GSE227709,GSM7105885,GSM7105885,10x 5',none,none,true,Tumor & Blood; library type: GEX/ADT
GSE227709,GSM7105886,GSM7105886,10x 5',none,none,true,Tumor & Blood; library type: GEX/ADT
GSE227709,GSM7105887,GSM7105887,10x 5',vdj,unspecified_ab_or_gd,true,Tumor & Blood; library type: TCR
GSE227709,GSM7105888,GSM7105888,10x 5',vdj,unspecified_ab_or_gd,true,Tumor & Blood; library type: TCR
GSE227709,GSM7105889,GSM7105889,10x 5',vdj,unspecified_ab_or_gd,true,Tumor & Blood; library type: TCR
GSE228597,GSM7133689,GSM7133689,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133690,GSM7133690,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133691,GSM7133691,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133692,GSM7133692,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133693,GSM7133693,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133694,GSM7133694,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133695,GSM7133695,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133696,GSM7133696,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133697,GSM7133697,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133698,GSM7133698,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133699,GSM7133699,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133700,GSM7133700,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133701,GSM7133701,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133702,GSM7133702,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133703,GSM7133703,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133704,GSM7133704,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133705,GSM7133705,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133706,GSM7133706,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133707,GSM7133707,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133708,GSM7133708,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133709,GSM7133709,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133710,GSM7133710,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133711,GSM7133711,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133712,GSM7133712,10x 5',none,none,true,Heart tissue
GSE228597,GSM7133713,GSM7133713,10x 5',none,none,true,PBMCs
GSE228597,GSM7133714,GSM7133714,10x 5',none,none,true,PBMCs
GSE228597,GSM7133715,GSM7133715,10x 5',none,none,true,PBMCs
GSE228597,GSM7133716,GSM7133716,10x 5',none,none,true,PBMCs
GSE228597,GSM7133717,GSM7133717,10x 5',none,none,true,PBMCs
GSE228597,GSM7133718,GSM7133718,10x 5',none,none,true,PBMCs
GSE228597,GSM7133719,GSM7133719,10x 5',none,none,true,PBMCs
GSE228597,GSM7133720,GSM7133720,10x 5',none,none,true,PBMCs
GSE228597,GSM7133721,GSM7133721,10x 5',none,none,true,PBMCs
GSE228597,GSM7133722,GSM7133722,10x 5',none,none,true,PBMCs
GSE228597,GSM7133723,GSM7133723,10x 5',none,none,true,PBMCs
GSE228597,GSM7133724,GSM7133724,10x 5',none,none,true,PBMCs
GSE228597,GSM7133725,GSM7133725,10x 5',none,none,true,PBMCs
GSE228597,GSM7133726,GSM7133726,10x 5',none,none,true,PBMCs
GSE228597,GSM7133727,GSM7133727,10x 5',none,none,true,PBMCs
GSE228597,GSM7133728,GSM7133728,10x 5',none,none,true,PBMCs
GSE228597,GSM7133729,GSM7133729,10x 5',none,none,true,PBMCs
GSE228597,GSM7133730,GSM7133730,10x 5',none,none,true,PBMCs
GSE228597,GSM7133731,GSM7133731,10x 5',none,none,true,PBMCs
GSE228597,GSM7133732,GSM7133732,10x 5',none,none,true,PBMCs
GSE228597,GSM7133733,GSM7133733,10x 5',none,none,true,PBMCs
GSE228597,GSM7133734,GSM7133734,10x 5',none,none,true,PBMCs
GSE228597,GSM7133735,GSM7133735,10x 5',none,none,true,PBMCs
GSE228597,GSM7133736,GSM7133736,10x 5',none,none,true,PBMCs
GSE228597,GSM7133737,GSM7133737,10x 5',none,none,true,PBMCs
GSE228597,GSM7133738,GSM7133738,10x 5',none,none,true,PBMCs
GSE228597,GSM7133739,GSM7133739,10x 5',none,none,true,PBMCs
GSE228597,GSM7133740,GSM7133740,10x 5',none,none,true,PBMCs
GSE228597,GSM8019276,GSM8019276,10x 5',vdj,unspecified_ab_or_gd,true,tumor
GSE228597,GSM8019277,GSM8019277,10x 5',vdj,unspecified_ab_or_gd,true,Normal tissue adjacent to tumor
GSE228597,GSM8019278,GSM8019278,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019279,GSM8019279,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019280,GSM8019280,10x 5',vdj,unspecified_ab_or_gd,true,tumor
GSE228597,GSM8019281,GSM8019281,10x 5',vdj,unspecified_ab_or_gd,true,Normal tissue adjacent to tumor
GSE228597,GSM8019282,GSM8019282,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019283,GSM8019283,10x 5',vdj,unspecified_ab_or_gd,true,tumor
GSE228597,GSM8019284,GSM8019284,10x 5',vdj,unspecified_ab_or_gd,true,Normal tissue adjacent to tumor
GSE228597,GSM8019285,GSM8019285,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019286,GSM8019286,10x 5',vdj,unspecified_ab_or_gd,true,tumor
GSE228597,GSM8019287,GSM8019287,10x 5',vdj,unspecified_ab_or_gd,true,Normal tissue adjacent to tumor
GSE228597,GSM8019288,GSM8019288,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019289,GSM8019289,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019290,GSM8019290,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019291,GSM8019291,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019292,GSM8019292,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8019293,GSM8019293,10x 5',vdj,unspecified_ab_or_gd,true,Heart tissue
GSE228597,GSM8031456,GSM8031456,10x 5',none,none,true,PBMCs
GSE228597,GSM8031457,GSM8031457,10x 5',none,none,true,PBMCs
GSE228597,GSM8031458,GSM8031458,10x 5',none,none,true,PBMCs
GSE228597,GSM8031459,GSM8031459,10x 5',none,none,true,PBMCs
GSE228597,GSM8031460,GSM8031460,10x 5',none,none,true,PBMCs
GSE229858,GSM7179128,GSM7179128,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179129,GSM7179129,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179130,GSM7179130,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179131,GSM7179131,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179132,GSM7179132,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179133,GSM7179133,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179134,GSM7179134,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179135,GSM7179135,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179136,GSM7179136,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179137,GSM7179137,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179138,GSM7179138,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179139,GSM7179139,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229858,GSM7179140,GSM7179140,10x 5',none,none,true,melanoma; cell type: expanded TILs
GSE229860,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE232240,GSM7324294,GSM7324294,10x (unspecified),vdj,unspecified_ab_or_gd,true,"tumor; response: mixed samples (RE, NR)"
GSE232240,GSM7324295,GSM7324295,10x (unspecified),vdj,unspecified_ab_or_gd,true,"tumor; response: mixed samples (RE, NR)"
GSE232240,GSM7324296,GSM7324296,10x 5',none,none,true,PBMCs
GSE232240,GSM7324297,GSM7324297,10x 5',none,none,true,PBMCs
GSE232240,GSM7324298,GSM7324298,10x 5',none,none,true,PBMCs
GSE232240,GSM7324299,GSM7324299,10x 5',none,none,true,PBMCs
GSE232240,GSM7324300,GSM7324300,10x 5',none,none,true,PBMCs
GSE232240,GSM7324301,GSM7324301,10x 5',none,none,true,PBMCs
GSE232240,GSM7324302,GSM7324302,10x 5',none,none,true,PBMCs
GSE232240,GSM7324303,GSM7324303,10x 5',none,none,true,PBMCs
GSE232240,GSM7324304,GSM7324304,10x 5',none,none,true,PBMCs
GSE232240,GSM7324305,GSM7324305,10x 5',none,none,true,PBMCs
GSE232240,GSM7324306,GSM7324306,10x 5',none,none,true,PBMCs
GSE232240,GSM7324307,GSM7324307,10x 5',none,none,true,PBMCs
GSE232240,GSM7324308,GSM7324308,10x 5',none,none,true,PBMCs
GSE232240,GSM7324309,GSM7324309,10x 5',none,none,true,PBMCs
GSE232240,GSM7324310,GSM7324310,10x 5',none,none,true,PBMCs
GSE232240,GSM7324311,GSM7324311,10x 5',none,none,true,PBMCs
GSE232240,GSM7324312,GSM7324312,10x 5',none,none,true,PBMCs
GSE232240,GSM7324313,GSM7324313,10x 5',none,none,true,PBMCs
GSE234069,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE234352,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE235863,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE240361,GSM7696769,GSM7696769,BD Rhapsody,none,none,true,RNA
GSE240361,GSM7696770,GSM7696770,BD Rhapsody,none,none,true,"HTO; hto: Sample Tag 1 — Human, Sample Tag 2 — Human"
GSE240361,GSM7696771,GSM7696771,BD Rhapsody,none,none,true,RNA
GSE240361,GSM7696772,GSM7696772,BD Rhapsody,none,none,true,"HTO; hto: Sample Tag 3 — Human, Sample Tag 4 — Human, Sample Tag 5 — Human, Sample Tag 6 — Human, Sample Tag 7 — Human, Sample Tag 8 — Human, ..."
GSE240361,GSM7696773,GSM7696773,BD Rhapsody,vdj,unspecified_ab_or_gd,true,TCR
GSE240865,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE241783,GSM7743546,GSM7743546,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743547,GSM7743547,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743548,GSM7743548,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743549,GSM7743549,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743550,GSM7743550,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743551,GSM7743551,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743552,GSM7743552,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743553,GSM7743553,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743554,GSM7743554,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743555,GSM7743555,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743556,GSM7743556,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743557,GSM7743557,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743558,GSM7743558,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743559,GSM7743559,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743560,GSM7743560,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743561,GSM7743561,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743562,GSM7743562,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743563,GSM7743563,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743564,GSM7743564,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743565,GSM7743565,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743566,GSM7743566,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743567,GSM7743567,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743568,GSM7743568,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743569,GSM7743569,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743570,GSM7743570,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743571,GSM7743571,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743572,GSM7743572,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743573,GSM7743573,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743574,GSM7743574,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743575,GSM7743575,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743576,GSM7743576,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743577,GSM7743577,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743578,GSM7743578,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743579,GSM7743579,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743580,GSM7743580,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743581,GSM7743581,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743582,GSM7743582,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743583,GSM7743583,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743584,GSM7743584,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743585,GSM7743585,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743586,GSM7743586,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743587,GSM7743587,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743588,GSM7743588,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743589,GSM7743589,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743590,GSM7743590,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743591,GSM7743591,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743592,GSM7743592,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743593,GSM7743593,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743594,GSM7743594,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743595,GSM7743595,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743596,GSM7743596,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743597,GSM7743597,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743598,GSM7743598,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743599,GSM7743599,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743600,GSM7743600,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743601,GSM7743601,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743602,GSM7743602,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743603,GSM7743603,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE241783,GSM7743604,GSM7743604,10x 5',vdj,unspecified_ab_or_gd,true,Blood cell culture
GSE243013,P1,P1,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P10,P10,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P102,P102,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P103,P103,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P105,P105,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P106,P106,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P107,P107,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P113,P113,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P114,P114,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P115,P115,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P118,P118,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P119,P119,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P120,P120,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P121,P121,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P122,P122,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P124,P124,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P125,P125,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P127,P127,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P130,P130,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P131,P131,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P137,P137,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P142,P142,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P146,P146,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P150,P150,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P156,P156,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P158,P158,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P16,P16,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P160,P160,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P161,P161,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P164,P164,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P166,P166,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P168,P168,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P172,P172,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P174,P174,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P179,P179,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P18,P18,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P180,P180,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P182,P182,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P184,P184,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P185,P185,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P189,P189,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P190,P190,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P192,P192,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P199,P199,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P2,P2,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P20,P20,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE243013,P200,P200,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
