cohort_id,field,value,cell_count
GSE296954,library_id,GSM8980315_2B,4923
GSE296954,library_id,GSM8980316_5A,6844
GSE296954,library_id,GSM8980317_5B,11764
GSE296954,library_id,GSM8980318_8A,4425
GSE296954,library_id,GSM8980319_8B,479
GSE296954,library_id,GSM8980320_12A,304
GSE296954,library_id,GSM8980321_12B,5960
GSE296954,library_id,GSM8980322_14A,484
GSE296954,library_id,GSM8980323_14B,5473
GSE296954,library_id,GSM8980324_17A,2122
GSE296954,library_id,GSM8980325_17B,3392
GSE296954,library_id,GSM8980326_18A,1135
GSE296954,library_id,GSM8980327_18B,437
GSE296954,library_id,GSM8980328_19A,10866
GSE296954,library_id,GSM8980329_19B,4627
GSE296954,library_id,GSM8980330_20A,1028
GSE296954,library_id,GSM8980331_20B,5334
GSE296954,library_id,GSM8980332_21A,4619
GSE296954,library_id,GSM8980333_21B,3203
GSE296954,sample_id,12A,304
GSE296954,sample_id,12B,5960
GSE296954,sample_id,14A,484
GSE296954,sample_id,14B,5473
GSE296954,sample_id,17A,2122
GSE296954,sample_id,17B,3392
GSE296954,sample_id,18A,1135
GSE296954,sample_id,18B,437
GSE296954,sample_id,19A,10866
GSE296954,sample_id,19B,4627
GSE296954,sample_id,1A,2096
GSE296954,sample_id,1B,4314
GSE296954,sample_id,20A,1028
GSE296954,sample_id,20B,5334
GSE296954,sample_id,21A,4619
GSE296954,sample_id,21B,3203
GSE296954,sample_id,2A,2779
GSE296954,sample_id,2B,4923
GSE296954,sample_id,5A,6844
GSE296954,sample_id,5B,11764
GSE296954,sample_id,8A,4425
GSE296954,sample_id,8B,479
GSE296954,source_accession,GSE296954,86608
GSE296954,source_gse_id,GSE296954,86608
GSE296954,specimen_context,primary_tumor,86608
GSE296954,tissue,tumor,86608
GSE296954,tissue_harmonized,tumor,86608
GSE315928,diagnosis,gastric_cancer,66813
GSE315928,donor_id,E12,3259
GSE315928,donor_id,E14,503
GSE315928,donor_id,E15,1753
GSE315928,donor_id,E16,2670
GSE315928,donor_id,E17,4098
GSE315928,donor_id,E18,5469
GSE315928,donor_id,E19,769
GSE315928,donor_id,E20,3954
GSE315928,donor_id,E21,3411
GSE315928,donor_id,E22,2644
GSE315928,donor_id,E23,2148
GSE315928,donor_id,E24,2058
GSE315928,donor_id,E25,1017
GSE315928,donor_id,E26,1851
GSE315928,donor_id,E27,2101
GSE315928,donor_id,E29,3157
GSE315928,donor_id,E30,2823
GSE315928,donor_id,E31,1652
GSE315928,donor_id,E32,1159
GSE315928,donor_id,E33,93
GSE315928,donor_id,E34,877
GSE315928,donor_id,E35,837
GSE315928,donor_id,E36,1637
GSE315928,donor_id,E37,1188
GSE315928,donor_id,E38,3170
GSE315928,donor_id,E39,2840
GSE315928,donor_id,E40,1783
GSE315928,donor_id,E41,3411
GSE315928,donor_id,E42,1392
GSE315928,donor_id,E43,678
GSE315928,donor_id,E44,933
GSE315928,donor_id,E45,827
GSE315928,donor_id,E46,651
GSE315928,library_id,GSM9440169_E12_B,231
GSE315928,library_id,GSM9440170_E12_F1,1452
GSE315928,library_id,GSM9440171_E12_F2,1576
GSE315928,library_id,GSM9440172_E14_B,261
GSE315928,library_id,GSM9440173_E14_F1,242
GSE315928,library_id,GSM9440174_E15_B,657
GSE315928,library_id,GSM9440175_E15_F1,810
GSE315928,library_id,GSM9440176_E15_F2,286
GSE315928,library_id,GSM9440177_E16_B,638
GSE315928,library_id,GSM9440178_E16_F1,709
GSE315928,library_id,GSM9440179_E16_F2,1323
GSE315928,library_id,GSM9440180_E17_B,394
GSE315928,library_id,GSM9440181_E17_F1,537
GSE315928,library_id,GSM9440182_E17_F2,3167
GSE315928,library_id,GSM9440183_E18_B,2076
GSE315928,library_id,GSM9440184_E18_F1,2042
GSE315928,library_id,GSM9440185_E18_F2,1351
GSE315928,library_id,GSM9440186_E19_B,445
GSE315928,library_id,GSM9440187_E19_F1,324
GSE315928,library_id,GSM9440188_E20_B,1546
GSE315928,library_id,GSM9440189_E20_F1,1391
GSE315928,library_id,GSM9440190_E20_F2,1017
GSE315928,library_id,GSM9440191_E21_B,696
GSE315928,library_id,GSM9440192_E21_F1,1862
GSE315928,library_id,GSM9440193_E21_F2,853
GSE315928,library_id,GSM9440194_E22_B,484
GSE315928,library_id,GSM9440195_E22_F1,1272
GSE315928,library_id,GSM9440196_E22_F2,888
GSE315928,library_id,GSM9440197_E23_B,179
GSE315928,library_id,GSM9440198_E23_F1,1130
GSE315928,library_id,GSM9440199_E23_F2,839
GSE315928,library_id,GSM9440200_E24_B,293
GSE315928,library_id,GSM9440201_E24_F1,1159
GSE315928,library_id,GSM9440202_E24_F2,606
GSE315928,library_id,GSM9440203_E25_B,523
GSE315928,library_id,GSM9440204_E25_F1,144
GSE315928,library_id,GSM9440205_E25_F2,350
GSE315928,library_id,GSM9440206_E26_B,620
GSE315928,library_id,GSM9440207_E26_F1,740
GSE315928,library_id,GSM9440208_E26_F2,491
GSE315928,library_id,GSM9440209_E27_B,235
GSE315928,library_id,GSM9440210_E27_F1,1851
GSE315928,library_id,GSM9440211_E27_F2,15
GSE315928,library_id,GSM9440212_E29_B,2016
GSE315928,library_id,GSM9440213_E29_F1,1122
GSE315928,library_id,GSM9440214_E29_F2,19
GSE315928,library_id,GSM9440215_E30_B,950
GSE315928,library_id,GSM9440216_E30_F1,947
GSE315928,library_id,GSM9440217_E30_F2,926
GSE315928,library_id,GSM9440218_E31_B,1176
GSE315928,library_id,GSM9440219_E31_F1,322
GSE315928,library_id,GSM9440220_E31_F2,154
GSE315928,library_id,GSM9440221_E32_B,505
GSE315928,library_id,GSM9440222_E32_F1,272
GSE315928,library_id,GSM9440223_E32_F2,382
GSE315928,library_id,GSM9440224_E33_B,44
GSE315928,library_id,GSM9440225_E33_F1,49
GSE315928,library_id,GSM9440226_E34_B,46
GSE315928,library_id,GSM9440227_E34_F1,831
GSE315928,library_id,GSM9440228_E35_B,429
GSE315928,library_id,GSM9440229_E35_F1,179
GSE315928,library_id,GSM9440230_E35_F2,229
GSE315928,library_id,GSM9440231_E36_B,422
GSE315928,library_id,GSM9440232_E36_F1,448
GSE315928,library_id,GSM9440233_E36_F2,767
GSE315928,library_id,GSM9440234_E37_B,551
GSE315928,library_id,GSM9440235_E37_F1,123
GSE315928,library_id,GSM9440236_E37_F2,514
GSE315928,library_id,GSM9440237_E38_B,1427
GSE315928,library_id,GSM9440238_E38_F1,1168
GSE315928,library_id,GSM9440239_E38_F2,575
GSE315928,library_id,GSM9440240_E39_B,458
GSE315928,library_id,GSM9440241_E39_F1,362
GSE315928,library_id,GSM9440242_E39_F2,2020
GSE315928,library_id,GSM9440243_E40_B,590
GSE315928,library_id,GSM9440244_E40_F1,104
GSE315928,library_id,GSM9440245_E40_F2,1089
GSE315928,library_id,GSM9440246_E41_B,889
GSE315928,library_id,GSM9440247_E41_F1,703
GSE315928,library_id,GSM9440248_E41_F2,1819
GSE315928,library_id,GSM9440249_E42_B,1008
GSE315928,library_id,GSM9440250_E42_F1,260
GSE315928,library_id,GSM9440251_E42_F2,124
GSE315928,library_id,GSM9440252_E43_B,210
GSE315928,library_id,GSM9440253_E43_F1,468
GSE315928,library_id,GSM9440254_E44_B,463
GSE315928,library_id,GSM9440255_E44_F1,310
GSE315928,library_id,GSM9440256_E44_F2,160
GSE315928,library_id,GSM9440257_E45_B,229
GSE315928,library_id,GSM9440258_E45_F1,527
GSE315928,library_id,GSM9440259_E45_F2,71
GSE315928,library_id,GSM9440260_E46_B,144
GSE315928,library_id,GSM9440261_E46_F1,482
GSE315928,library_id,GSM9440262_E46_F2,25
