source_gse_id,leiden,cells,target_cells,selection_fraction
GSE252762,20,368,17,0.04619565217391304
GSE161918,23,364,16,0.04395604395604396
GSE144469,23,363,16,0.0440771349862259
GSE179994,24,343,15,0.043731778425655975
GSE240865,1,343,15,0.043731778425655975
GSE145926,15,341,15,0.04398826979472141
GSE234069,21,338,15,0.04437869822485207
GSE178882,19,336,15,0.044642857142857144
GSE301528,11,336,15,0.044642857142857144
GSE240865,9,336,15,0.044642857142857144
GSE155223,18,335,15,0.04477611940298507
GSE252762,11,335,15,0.04477611940298507
GSE287301,6,334,15,0.04491017964071856
GSE234069,11,327,15,0.045871559633027525
GSE139555,24,322,14,0.043478260869565216
GSE171037,22,320,14,0.04375
GSE234069,24,319,14,0.0438871473354232
GSE254176,5,316,14,0.04430379746835443
GSE287541,7,315,14,0.044444444444444446
GSE125527,3,312,14,0.04487179487179487
GSE232240,5,309,14,0.045307443365695796
GSE311112,0,308,14,0.045454545454545456
GSE221776,16,306,14,0.0457516339869281
GSE234069,6,305,14,0.04590163934426229
GSE252762,22,298,13,0.0436241610738255
GSE243572,11,297,13,0.04377104377104377
GSE252762,2,296,13,0.04391891891891892
GSE301528,19,296,13,0.04391891891891892
GSE234069,26,288,13,0.04513888888888889
GSE212217,16,285,13,0.0456140350877193
GSE211504,21,282,13,0.04609929078014184
GSE241783,11,282,13,0.04609929078014184
GSE287301,23,278,12,0.04316546762589928
GSE211504,3,277,12,0.04332129963898917
GSE232240,9,272,12,0.04411764705882353
GSE168163,7,269,12,0.04460966542750929
GSE240865,26,269,12,0.04460966542750929
GSE241783,24,268,12,0.04477611940298507
GSE161918,12,267,12,0.0449438202247191
GSE139555,15,263,12,0.045627376425855515
GSE228597,16,261,12,0.04597701149425287
GSE234069,5,261,12,0.04597701149425287
GSE178882,27,260,12,0.046153846153846156
GSE240865,5,260,12,0.046153846153846156
GSE162498,8,259,12,0.04633204633204633
GSE301528,18,257,11,0.042801556420233464
GSE155222,18,254,11,0.04330708661417323
GSE155223,24,253,11,0.043478260869565216
GSE311112,18,253,11,0.043478260869565216
GSE287541,23,250,11,0.044
GSE188620,23,248,11,0.04435483870967742
GSE171037,11,247,11,0.044534412955465584
GSE178882,18,245,11,0.044897959183673466
GSE301528,13,245,11,0.044897959183673466
GSE179994,23,244,11,0.045081967213114756
GSE171037,20,242,11,0.045454545454545456
GSE234069,14,242,11,0.045454545454545456
GSE252762,5,240,11,0.04583333333333333
GSE171037,4,237,11,0.046413502109704644
GSE139555,23,236,10,0.0423728813559322
GSE139555,27,233,10,0.04291845493562232
GSE145926,23,233,10,0.04291845493562232
GSE240865,17,232,10,0.04310344827586207
GSE301528,15,231,10,0.04329004329004329
GSE221776,19,230,10,0.043478260869565216
GSE267645,11,230,10,0.043478260869565216
GSE211504,24,229,10,0.043668122270742356
GSE168859,15,227,10,0.04405286343612335
GSE188620,15,226,10,0.04424778761061947
GSE221776,24,223,10,0.04484304932735426
GSE308075,5,222,10,0.04504504504504504
GSE287541,11,217,10,0.04608294930875576
GSE144469,8,215,10,0.046511627906976744
GSE178882,7,214,9,0.04205607476635514
GSE243572,27,211,9,0.04265402843601896
GSE229858,10,210,9,0.04285714285714286
GSE311112,7,210,9,0.04285714285714286
GSE228597,0,209,9,0.0430622009569378
GSE301528,1,205,9,0.04390243902439024
GSE125527,16,200,9,0.045
GSE171037,5,200,9,0.045
GSE240865,7,200,9,0.045
GSE311112,23,199,9,0.04522613065326633
GSE211504,7,198,9,0.045454545454545456
GSE229858,20,198,9,0.045454545454545456
GSE267645,27,195,9,0.046153846153846156
GSE145926,21,193,8,0.04145077720207254
GSE155222,24,193,8,0.04145077720207254
GSE171037,19,191,8,0.041884816753926704
GSE179994,19,191,8,0.041884816753926704
GSE235863,23,190,8,0.042105263157894736
GSE252762,16,188,8,0.0425531914893617
GSE234069,8,188,8,0.0425531914893617
GSE232240,23,186,8,0.043010752688172046
GSE287541,22,185,8,0.043243243243243246
